Value
679
310
643
493
403
838
997
385
706
691
694
484
1018
754
811
400
376
454
391
751
1057
361
322
526
961
1585
388
481
1420
2080
658
1132
481
571
826
1198
586
283
403
463
637
625
187
313
340
676
583
1249
589
853
853
790
559
799
625
250
793
502
1639
646
658
598
790
718
496
1240
247
913
1219
502
649
565
229
382
625
250
784
445
316
355
442
478
724
577
469
1180
721
1132
646
733
1048
670
544
280
709
742
691
1519
595
739
667
454
508
532
541
781
478
295
472
1048
784
826
589
889
1213
469
925
403
484
718
955
259
112
1096
484
607
613
1423
673
730
535
325
1072
592
1177
583
619
982
826
337
751
775
439
610
421
340
532
508
529
730
430
583
430
361
547
268
790
1906
1129
259
793
511
619
406
1177
481
616
1246
1570
532
745
436
322
616
232
697
439
1015
1471
238
670
1009
385
688
547
532
622
661
943
634
640
646
724
418
1117
1114
766
382
1186
1585
2584
634
481
304
373
256
313
1921
