Value
244
100
319
184
172
322
361
142
265
259
256
202
394
280
319
151
139
184
154
256
433
160
100
175
424
673
154
163
664
934
250
466
184
232
340
502
226
94
166
190
274
244
76
118
139
262
220
517
232
322
310
325
208
271
241
94
334
193
643
259
262
208
304
253
193
496
85
334
493
199
274
193
97
148
241
94
313
166
124
148
169
193
265
220
184
421
277
445
235
265
385
259
196
97
262
283
250
640
214
295
271
172
190
223
211
310
181
121
199
412
301
337
202
328
472
193
328
151
199
304
358
94
43
382
214
211
217
592
253
301
208
109
409
244
487
229
217
409
307
130
271
328
175
226
157
130
211
181
202
280
160
277
178
133
256
118
283
727
514
109
310
190
256
160
484
196
229
505
652
211
322
157
154
211
85
199
193
316
598
85
274
391
157
286
193
196
214
250
355
238
235
223
274
172
448
454
280
145
421
667
1033
262
193
145
154
94
127
736
